"_ID","LIEU_DISTRIBUTION","TYPE_LIEU","NUMERO","ADRESSE","QUARTIER","QUARTIER_CIBLE","TYPE_DISTRIBUTION","RDV1","HDEBUT1","HFIN1","RDV2","HDEBUT2","HFIN2","RDV3","HDEBUT3","HFIN3","RDV4","HDEBUT4","HFIN4","OBSERVATIONS","CODE_POSTAL","COMMUNE","location"
"37","Place de Bretagne","","","Place de Bretagne","Centre Ville","Centre-Ville","RDV","24/01/2014","14:30","19:00","25/04/2014","14:30","19:00","03/10/2014","14:30","19:00","","","","","44000","Nantes","[ 47.2175064328734 , -1.55911151379809]"
"38","Place Dulcie September","","","Place Dulcie September","Centre Ville","Centre-Ville","RDV","25/01/2014","09:00","13:00","26/04/2014","09:00","13:00","04/10/2014","09:00","13:00","","","","","44000","Nantes","[ 47.2169571645123 , -1.55444617450992]"
"39","Esplanade des Victimes des Bombardements","","","Quai Turenne","Centre Ville","Centre-Ville","RDV","27/01/2014","14:30","19:00","12/05/2014","14:30","19:00","06/10/2014","14:30","19:00","","","","","44000","Nantes","[ 47.2128189777156 , -1.55414986696141]"
"40","Angle Rue Huchette/Rue Gigant","","2","Rue Huchette","Centre Ville","Centre-Ville","RDV","29/01/2014","14:30","19:00","14/05/2014","14:30","19:00","08/10/2014","14:30","19:00","","","","","44100","Nantes","[ 47.214293051504 , -1.56914562067294]"
"41","Cours Saint Pierre","","","Cours Saint Pierre","Centre Ville","Centre-Ville","RDV","30/01/2014","14:30","19:00","15/05/2014","14:30","19:00","09/10/2014","14:30","19:00","","","","","44000","Nantes","[ 47.2191674356457 , -1.54955272355555]"
"42","Cours Cambronne","","","Rue des Cadeniers","Centre Ville","Centre-Ville","RDV","01/02/2014","09:00","13:00","17/05/2014","09:00","13:00","11/10/2014","09:00","13:00","","","","","44000","Nantes","[ 47.2124318278172 , -1.56246151143316]"
"106","Nantes Habitat Agence Goudy","Organisme HLM","8","Rue Gabriel Goudy","Nantes Sud","Malakoff/Nantes Sud","PDIS","","","","","","","","","","","","","","44200","Nantes","[ 47.1954039867101 , -1.54125589789751]"
"90","Pôle de proximité Erdre et Cens","Pôle de proximité","37","Boulevard Albert Einstein","Nantes Nord","Nantes Nord","PDIS","","","","","","","","","","","","","","44300","Nantes","[ 47.2640133773154 , -1.57244247186719]"
"87","Mairie Annexe Nantes Nord","Mairie annexe","41","Route de la Chapelle sur Erdre","Nantes Nord","Nantes Nord","PDIS","","","","","","","","","","","","","","44300","Nantes","[ 47.2567767936233 , -1.57597244158787]"
"100","Mairie Annexe Barberie","Mairie annexe","103","Rue Pierre Yvernogeau","Breil - Barberie","Nantes Nord/Barberie","PDIS","","","","","","","","","","","","","","44300","Nantes","[ 47.2408839755244 , -1.57215838506204]"
