gml_id,gid,num_col,type,vol_col,proj_exist,rue
mmm_pav_existants.1386,1386,V370,Verre,3,Existant,BOULEVARD DE LA LIBERTE
mmm_pav_existants.1387,1387,P004,Papier,3,Existant,BOULEVARD DE LA LIBERTE
mmm_pav_existants.1388,1388,P044,Papier,3,Existant,CIT2 UNIVERSITAIRE BOUTONNET
mmm_pav_existants.1389,1389,V678,Verre,3,Existant,Rue de Montferrier
mmm_pav_existants.1390,1390,V681,Verre,3,Existant,Rue des Moulières
mmm_pav_existants.1391,1391,V439,Verre,3,Existant,Avenue Eveche de Maguelone
mmm_pav_existants.1392,1392,V457,Verre,3,Existant,RUE DES ANEMONES
mmm_pav_existants.1393,1393,V677,Verre,3,Existant,Parking du skate park
mmm_pav_existants.1394,1394,V680,Verre,3,Existant,Allée Roland Micheu
mmm_pav_existants.1395,1395,V660,Verre,3,Existant,RUE DES 4 VENTS
mmm_pav_existants.1396,1396,V434,Verre,3,Existant,DECHETTERIE
mmm_pav_existants.1397,1397,V437,Verre,3,Existant,AVENUE AGROPOLIS
mmm_pav_existants.1398,1398,VRS022,Verre,3,Existant,1000 avenue de l'Europe
mmm_pav_existants.1399,1399,VRS017,Verre,3,Existant,Courte paille
mmm_pav_existants.1400,1400,V907,Verre,3,Existant,Rue des prtes domitiennes
mmm_pav_existants.1401,1401,V171,Verre,,Existant,Palais des sport
mmm_pav_existants.1402,1402,P201,Papier,3,Existant,BOULEVARD DES ARCEAUX
mmm_pav_existants.1403,1403,P406,Papier,3,Existant,Parking skate parc
mmm_pav_existants.1404,1404,P407,Papier,3,Existant,Rue de Montferrier
mmm_pav_existants.1405,1405,P409,Papier,3,Existant,Allée Roland Micheu
mmm_pav_existants.1406,1406,P410,Papier,3,Existant,Rue des Moulières
mmm_pav_existants.1407,1407,V286,Verre,3,Existant,RUE SAINT PRIEST
mmm_pav_existants.1408,1408,V633,Verre,3,Existant,ALLEE YVES STOURDZE
mmm_pav_existants.1409,1409,V969,Verre,,Existant,CHALET SUISSE
mmm_pav_existants.1410,1410,P156,Papier,0,Existant,RUE FRA ANGELICO
mmm_pav_existants.1411,1411,V537,Verre,3,Existant,RUE DE LA FONTAINE
mmm_pav_existants.1412,1412,P171,Papier,3,Existant,DECHETTERIE PRES D'ARENES
mmm_pav_existants.1413,1413,P169,Papier,3,Existant,AVENUE DE LA POMPIGNANE
mmm_pav_existants.1414,1414,V761,Verre,3,Existant,DECHETTERIE DE CASTELNAU
