"nom";"categorie";"equipement";"statut";"lieu";"date";"annee";"lat";"lon";"image";"page"
"Camille Guérin";"Composteur ouvert au quartier";"Silos 2x1m3";"En service";"Malakoff - Saint-Donatien";"04-12-2015";"2015";"47.230744";"-1.543493";"http://www.compostri.fr/wp-content/uploads/2015/12/20151205_121605-150x150.jpg";"http://www.compostri.fr/compost/camille-guerin/"
"Crèche de Bellevue";"Composteur Pédagogique en établissement scolaire";"Pavillon 1,5 m3";"En service";"Bellevue - Chantenay - Sainte-Anne";"01-06-2016";"2015";"47.205413";"-1.607097";"http://www.compostri.fr/wp-content/uploads/2015/12/crèche-bellevue-150x150.jpg";"http://www.compostri.fr/compost/creche-de-bellevue/"
"Association la Clé des Champs";"Composteur sur des jardins collectifs";"Pavillon 1,5 m3";"En service";"Bouguenais";"";"2013";"47.168376";"-1.598071";"http://www.compostri.fr/wp-content/uploads/2015/12/clé-des-champs-150x150.jpg";"http://www.compostri.fr/compost/association-la-cle-des-champs/"
"FJT Port-Beaulieu &#8211; Jard&rsquo;îlien";"Composteur ouvert au quartier";"Pavillon 1,5 m3";"En service";"Île de Nantes";"";"2015";"47.206184";"-1.542426";"http://www.compostri.fr/wp-content/uploads/2015/07/FJT-portbeaulieu2-150x150.jpg";"http://www.compostri.fr/compost/fjt-port-beaulieu-jardilien/"
"Ecole des Réformes";"Composteur Pédagogique en établissement scolaire";"Pavillon 1,5 m3";"En service";"Bellevue - Chantenay - Sainte-Anne";"";"2015";"47.199468";"-1.591116";"http://www.compostri.fr/wp-content/uploads/2015/01/scene12_72dpi-150x150.jpg";"http://www.compostri.fr/compost/ecole-des-reformes/"
"Square du Lait de Mai";"Composteur sur des jardins collectifs";"Pavillon 1,5 m3";"En service";"Nantes centre";"";"2015";"47.211964";"-1.548060";"http://www.compostri.fr/wp-includes/images/media/default.png";"http://www.compostri.fr/compost/square-du-lait-de-mai/"
"Forges on t&rsquo;aime";"Composteur ouvert au quartier";"Silos 2x2.5m3";"En service";"Doulon - Bottière";"10-06-2016";"2015";"47.227054";"-1.518301";"http://www.compostri.fr/wp-content/uploads/2015/12/forges-on-taime-e1449226667643-150x150.jpg";"http://www.compostri.fr/compost/forges-on-taime/"
"Blordière";"Composteur en résidence - copropriété";"Silos 2x1m3";"En service";"Rezé";"";"2015";"47.180299";"-1.533312";"http://www.compostri.fr/wp-content/uploads/2015/12/20151114_112415-150x150.jpg";"http://www.compostri.fr/compost/blordiere/"
"Koufra";"Composteur en résidence - copropriété";"Silos 2x1m3";"En service";"Nantes Erdre";"14-11-2015";"2015";"47.243691";"-1.528226";"http://www.compostri.fr/wp-content/uploads/2015/12/koufra-e1453473473420-150x150.jpg";"http://www.compostri.fr/compost/koufra/"
"Ecole Pont Marchand";"Composteur Pédagogique en établissement scolaire";"Silos 2x2.5m3";"En service";"Orvault";"";"2015";"47.263677";"-1.631934";"http://www.compostri.fr/wp-content/uploads/2015/12/20151021_113409-e1454323109696-150x150.jpg";"http://www.compostri.fr/compost/ecole-pont-marchand/"
"Jardins du Douet";"Composteur sur des jardins collectifs";"Pavillon 2,5 m3";"En service";"Saint-Sébastien-sur-Loire";"";"2014";"47.191035";"-1.521222";"http://www.compostri.fr/wp-content/uploads/2015/12/jardins-du-douet-150x150.jpg";"http://www.compostri.fr/compost/jardins-du-douet/"
